"id","course_id","course_number","class_title","prerequisite","gen_ed_req","credits","level","meeting_days","meeting_times","Quarter"
"20233:CSE:121:A,AD","2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","CSE 121","Introduction to Computer Programming I","","RSN,NSc","4","100","WF","12:00 PM - 1:00 PM","SU 23"
"20234:CSE:121:B,BD","2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","CSE 121","Introduction to Computer Programming I","","RSN,NSc","4","100","WF","11:30 AM - 12:20 PM","AU 23"
"20233:CSE:122:A,AA","e38904c7-407c-44c0-aae8-4e402b77af1d","CSE 122","Introduction to Computer Programming II","","RSN,NSc","4","100","WF","10:50 AM - 11:50 AM","SU 23"
"20234:CSE:122:A,AL","e38904c7-407c-44c0-aae8-4e402b77af1d","CSE 122","Introduction to Computer Programming II","","RSN,NSc","4","100","WF","11:30 AM - 12:20 PM","AU 23"
"20233:CSE:123:A,AC","3f2804ee-24e3-48bb-aa87-6b12cc919a87","CSE 123","Introduction to Computer Programming III","","RSN,NSc","4","100","WF","10:50 AM - 11:50 AM","SU 23"
"20234:CSE:123:A,AI","3f2804ee-24e3-48bb-aa87-6b12cc919a87","CSE 123","Introduction to Computer Programming III","","RSN,NSc","4","100","WF","12:30 PM - 1:20 PM","AU 23"
"20234:CSE:143:D,DB","29c0b2f0-7cad-4784-af82-146fbd550b7e","CSE 143","Computer Programming II","CSE 142.","RSN,NSc","5","100","MWF","3:30 PM - 4:20 PM","AU 23"
"20233:CSE:154:A,AA","c6a0c79a-9fff-447c-88a9-ad71d877771f","CSE 154","Web Programming","a minimum grade of 2.0 in either CSE 122, CSE 123, CSE 142, CSE 143, CSE 160, or CSE 163.","RSN","5","100","MWF","8:30 AM - 9:20 AM","SU 23"
"20234:CSE:154:A,AD","c6a0c79a-9fff-447c-88a9-ad71d877771f","CSE 154","Web Programming","a minimum grade of 2.0 in either CSE 122, CSE 123, CSE 142, CSE 143, CSE 160, or CSE 163.","RSN","5","100","MWF","8:30 AM - 9:20 AM","AU 23"
"20233:CSE:160:A,AA","d4fb41e9-b53f-4093-92a6-2790786144e6","CSE 160","Data Programming","","RSN,NSc","4","100","MWF","9:40 AM - 10:40 AM","SU 23"
"20234:CSE:160:A,AE","d4fb41e9-b53f-4093-92a6-2790786144e6","CSE 160","Data Programming","","RSN,NSc","4","100","MWF","3:30 PM - 4:20 PM","AU 23"
"20233:CSE:163:A,AB","da10d70f-17a9-4975-ab11-6fd654ffc0c4","CSE 163","Intermediate Data Programming","either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160.","RSN","4","100","MWF","1:10 PM - 2:10 PM","SU 23"
"20234:CSE:163:A","da10d70f-17a9-4975-ab11-6fd654ffc0c4","CSE 163","Intermediate Data Programming","either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160.","RSN","4","100","MWF","10:30 AM - 11:20 AM","AU 23"
"20234:CSE:190:Z","38b71a40-9ba4-40a9-b0a0-9715ce3f7446","CSE 190","Current Topics in Computer Science and Engineering","","","1-5","100","M","3:30 PM - 4:50 PM","AU 23"
"20233:CSE:311:A,AA","9c4652a2-5702-4f74-8183-b146bbca2041","CSE 311","Foundations of Computing I","a minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136.","RSN","4","300","MWF","12:00 PM - 1:00 PM","SU 23"
"20234:CSE:311:A,AB","9c4652a2-5702-4f74-8183-b146bbca2041","CSE 311","Foundations of Computing I","a minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136.","RSN","4","300","MWF","10:30 AM - 11:20 AM","AU 23"
"20233:CSE:312:A,AA","eabcdd6e-3e41-4282-827c-1bea26086781","CSE 312","Foundations of Computing II","CSE 311.","RSN","4","300","MWF","12:00 PM - 1:00 PM","SU 23"
"20234:CSE:312:A,AD","eabcdd6e-3e41-4282-827c-1bea26086781","CSE 312","Foundations of Computing II","CSE 311.","RSN","4","300","MWF","1:30 PM - 2:20 PM","AU 23"
"20233:CSE:331:A,AA","7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","CSE 331","Software Design and Implementation","a minimum grade of 2.0 in either CSE 123 or CSE 143.","","4","300","MWF","10:50 AM - 11:50 AM","SU 23"
"20234:CSE:331:B,BD","7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","CSE 331","Software Design and Implementation","a minimum grade of 2.0 in either CSE 123 or CSE 143.","","4","300","MWF","2:30 PM - 3:20 PM","AU 23"
"20233:CSE:332:A,AC","9f0283ac-b8f0-46cc-834e-2d6cb06573cb","CSE 332","Data Structures and Parallelism","CSE 311.","","4","300","MWF","9:40 AM - 10:40 AM","SU 23"
"20234:CSE:332:A,AD","9f0283ac-b8f0-46cc-834e-2d6cb06573cb","CSE 332","Data Structures and Parallelism","CSE 311.","","4","300","MWF","12:30 PM - 1:20 PM","AU 23"
"20233:CSE:333:A,AA","8c8b7cad-07a8-413b-8623-e407510f5b8c","CSE 333","Systems Programming","CSE 351.","","4","300","MWF","1:10 PM - 2:10 PM","SU 23"
"20234:CSE:333:A,AE","8c8b7cad-07a8-413b-8623-e407510f5b8c","CSE 333","Systems Programming","CSE 351.","","4","300","MWF","11:30 AM - 12:20 PM","AU 23"
"20234:CSE:340:A,AA","391fd4a6-f035-4395-81f5-449e121d5a4b","CSE 340","Interaction Programming","CSE 123 or CSE 143.","","4","300","MWF","12:30 PM - 1:20 PM","AU 23"
"20234:CSE:341:A,AD","bd4e5d1f-9292-4c07-aad5-ff6efbee8b0e","CSE 341","Programming Languages","CSE 123 or CSE 143.","","4","300","MWF","1:30 PM - 2:20 PM","AU 23"
"20233:CSE:344:A,AA","02a5a416-3b3d-4ae6-92c9-4ef0b9075c0d","CSE 344","Introduction to Data Management","CSE 311.","","4","300","MWF","2:20 PM - 3:20 PM","SU 23"
"20234:CSE:344:A,AB","02a5a416-3b3d-4ae6-92c9-4ef0b9075c0d","CSE 344","Introduction to Data Management","CSE 311.","","4","300","MWF","10:30 AM - 11:20 AM","AU 23"
"20233:CSE:351:A,AA","04c9372d-6922-4bd9-9be7-90a6a8c81ffb","CSE 351","The Hardware/Software Interface","CSE 123 or CSE 143.","","4","300","MWF","1:10 PM - 2:10 PM","SU 23"
"20234:CSE:351:C,CA","04c9372d-6922-4bd9-9be7-90a6a8c81ffb","CSE 351","The Hardware/Software Interface","CSE 123 or CSE 143.","","4","300","MWF","11:30 AM - 12:20 PM","AU 23"
"20233:CSE:371:A","738ba1a5-8b77-4ba1-b122-91d6d1c3b364","CSE 371","Design of Digital Circuits and Systems","either E E 205 or E E 215; either E E 271 or CSE 369.","","5","300","TTh","10:50 AM - 1:00 PM","SU 23"
"20234:CSE:371:A","738ba1a5-8b77-4ba1-b122-91d6d1c3b364","CSE 371","Design of Digital Circuits and Systems","either E E 205 or E E 215; either E E 271 or CSE 369.","","5","300","MW","11:30 AM - 1:20 PM","AU 23"
"20233:CSE:373:A,AC","7208dc05-e2a7-4064-b3fc-3e5e182472cb","CSE 373","Data Structures and Algorithms","CSE 123 or CSE 143.","","4","300","MWF","1:10 PM - 2:10 PM","SU 23"
"20234:CSE:373:A,AB","7208dc05-e2a7-4064-b3fc-3e5e182472cb","CSE 373","Data Structures and Algorithms","CSE 123 or CSE 143.","","4","300","MWF","2:30 PM - 3:20 PM","AU 23"
"20233:CSE:374:A","a0a9aae3-5fe3-421c-81e1-fa572fdd0103","CSE 374","Intermediate Programming Concepts and Tools","CSE 123 or CSE 143.","","3","300","MWF","10:50 AM - 11:50 AM","SU 23"
"20234:CSE:374:A","a0a9aae3-5fe3-421c-81e1-fa572fdd0103","CSE 374","Intermediate Programming Concepts and Tools","CSE 123 or CSE 143.","","3","300","MWF","9:30 AM - 10:20 AM","AU 23"
"20234:CSE:390:T","3bc98c04-419f-40a7-814b-63a11619e8ab","CSE 390","Special Topics in Computer Science and Engineering","","","1-5","300","TTh","2:30 PM - 3:50 PM","AU 23"
"20233:CSE:391:A","6b05d45b-358d-46c3-898e-7096e8fa9a7e","CSE 391","System and Software Tools","either CSE 122, CSE 123, or CSE 143.","","1","300","T","10:50 AM - 11:50 AM","SU 23"
"20234:CSE:391:B","6b05d45b-358d-46c3-898e-7096e8fa9a7e","CSE 391","System and Software Tools","either CSE 122, CSE 123, or CSE 143.","","1","300","T","1:30 PM - 2:20 PM","AU 23"
