"activity_id","course_id","meeting_times","meeting_days","building","room","quarter"
"CSE121 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:00 PM - 1:00 PM","WF","PAA","A102","SU 23"
"CSE121 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","9:40 AM - 10:40 AM","TTh","SAV","136","SU 23"
"CSE121 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","10:50 AM - 11:50 AM","TTh","MGH","074","SU 23"
"CSE121 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:00 PM - 1:00 PM","TTh","SWS","030","SU 23"
"CSE121 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:00 PM - 1:00 PM","TTh","BNS","115","SU 23"
"CSE121 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","1:10 PM - 2:10 PM","TTh","SAV","158","SU 23"
"CSE121 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:00 PM - 1:00 PM","TTh","CHL","105","SU 23"
"CSE121 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","2:30 PM - 3:20 PM","TTh","ART","317","AU 23"
"CSE121 AH","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","3:30 PM - 4:20 PM","TTh","ART","004","AU 23"
"CSE121 AI","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","8:30 AM - 9:20 AM","TTh","MGH","284","AU 23"
"CSE121 AJ","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","9:30 AM - 10:20 AM","TTh","MGH","082A","AU 23"
"CSE121 AK","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","10:30 AM - 11:20 AM","TTh","LOW","118","AU 23"
"CSE121 AL","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","11:30 AM - 12:20 PM","TTh","LOW","201","AU 23"
"CSE121 AM","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:30 PM - 1:20 PM","TTh","LOW","114","AU 23"
"CSE121 AN","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","1:30 PM - 2:20 PM","TTh","MGH","082A","AU 23"
"CSE121 AO","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","2:30 PM - 3:20 PM","TTh","ECE","003","AU 23"
"CSE121 AP","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","3:30 PM - 4:20 PM","TTh","ART","006","AU 23"
"CSE121 AQ","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","8:30 AM - 9:20 AM","TTh","MGH","251","AU 23"
"CSE121 AR","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","9:30 AM - 10:20 AM","TTh","LOW","118","AU 23"
"CSE121 AS","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","10:30 AM - 11:20 AM","TTh","MGH","288","AU 23"
"CSE121 AT","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","10:30 AM - 11:20 AM","TTh","MGH","248","AU 23"
"CSE121 AU","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","11:30 AM - 12:20 PM","TTh","ART","317","AU 23"
"CSE121 AV","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:30 PM - 1:20 PM","TTh","LOW","113","AU 23"
"CSE121 AW","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","1:30 PM - 2:20 PM","TTh","AND","223","AU 23"
"CSE121 B","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","3:30 PM - 4:20 PM","WF","KNE","120","AU 23"
"CSE121 BA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","8:30 AM - 9:20 AM","TTh","MGH","074","AU 23"
"CSE121 BB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","9:30 AM - 10:20 AM","TTh","MGH","248","AU 23"
"CSE121 BC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","10:30 AM - 11:20 AM","TTh","MGH","082A","AU 23"
"CSE121 BD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","11:30 AM - 12:20 PM","TTh","ARC","G070","AU 23"
"CSE121 BE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=2a94a8e8-66d8-4c03-9da1-ac1e32e5e171","12:30 PM - 1:20 PM","TTh","MGH","288","AU 23"
